,date,open,high,low,close,volume,tic,day
0,2023-04-28,2914.89990234375,2914.89990234375,2847.699951171875,2877.076416015625,44484,ASIANPAINT.BO,4
1,2023-04-28,882.0999755859375,889.1500244140625,853.75,860.0,340503,AXISBANK.BO,4
2,2023-04-28,4370.35009765625,4439.39990234375,4370.35009765625,4297.79052734375,5709,BAJAJ-AUTO.BO,4
3,2023-04-28,1373.75,1373.75,1319.75,1350.6380615234375,127632,BAJAJFINSV.BO,4
4,2023-04-28,6225.0,6292.0,6110.35009765625,6253.8271484375,27238,BAJFINANCE.BO,4
5,2023-04-28,787.2999877929688,802.0,787.2999877929688,795.3451538085938,57737,BHARTIARTL.BO,4
6,2023-04-28,4888.0498046875,4933.0,4876.5498046875,4888.2802734375,9499,DRREDDY.BO,4
7,2023-04-28,1056.0,1068.0,1054.0,1044.5634765625,30231,HCLTECH.BO,4
8,2023-04-28,1682.5999755859375,1690.949951171875,1670.0,1668.915771484375,268231,HDFCBANK.BO,4
9,2023-04-28,2454.10009765625,2466.0,2419.60009765625,2416.794189453125,46219,HINDUNILVR.BO,4
10,2023-04-28,917.5999755859375,920.0,910.4000244140625,910.21240234375,217558,ICICIBANK.BO,4
11,2023-04-28,1148.0,1157.0,1135.0,1139.559326171875,75309,INDUSINDBK.BO,4
12,2023-04-28,1255.0,1259.199951171875,1245.0999755859375,1220.147705078125,451035,INFY.BO,4
13,2023-04-28,418.3999938964844,428.0,413.70001220703125,418.9976806640625,343789,ITC.BO,4
14,2023-04-28,735.0,735.0,721.5499877929688,722.257568359375,17676,JSWSTEEL.BO,4
15,2023-04-28,1906.0,1943.4000244140625,1896.050048828125,1936.1070556640625,103973,KOTAKBANK.BO,4
16,2023-04-28,2305.300048828125,2368.75,2305.300048828125,2364.75,314670,LT.BO,4
17,2023-04-28,1224.050048828125,1228.5,1211.9000244140625,1226.5999755859375,72287,M&M.BO,4
18,2023-04-28,8560.0498046875,8610.0,8535.4501953125,8589.900390625,4374,MARUTI.BO,4
19,2023-04-28,2115.0,2185.0,2112.43994140625,2044.4503173828125,32970,NESTLEIND.BO,4
20,2023-04-28,171.4499969482422,172.5,169.5500030517578,166.4423370361328,431542,NTPC.BO,4
21,2023-04-28,159.25,159.64999389648438,154.89999389648438,151.6746368408203,701592,ONGC.BO,4
22,2023-04-28,176.3625030517578,178.4250030517578,174.8625030517578,166.9822235107422,378702,POWERGRID.BO,4
23,2023-04-28,2379.85009765625,2424.0,2379.800048828125,2411.680419921875,394972,RELIANCE.BO,4
24,2023-04-28,565.5499877929688,580.0,565.5499877929688,567.0320434570312,878199,SBIN.BO,4
25,2023-04-28,981.0,992.5,979.25,981.2090454101562,26056,SUNPHARMA.BO,4
26,2023-04-28,3208.0,3227.199951171875,3197.14990234375,3175.76904296875,51644,TCS.BO,4
27,2023-04-28,983.0,1026.6500244140625,982.9500122070312,986.9551391601562,279514,TECHM.BO,4
28,2023-04-28,2663.5,2679.300048828125,2620.050048828125,2640.39990234375,32742,TITAN.BO,4
29,2023-04-28,7524.9501953125,7576.5498046875,7487.5498046875,7520.2265625,8316,ULTRACEMCO.BO,4
